weibo_text,豆包评分,opposite_sex_social_avoidance,相似性
我不怕有人通过评论摸到这条微博。我虽然恐男厌男但是我和他们说话时是理智且不带偏见的即使评论区的他们作为社会失败的产物一上来就人身攻击我。高学历并不代表好人品很多时候我觉得我身边的人甚至不如学习不好的人有人情味。看到高学历的人说出女权社会这种话时我更坚信了这一点。我觉得现在短视频里女欺负男可以反之则不行的行为确实很令人费解但也就博博眼球。真正相爱的人应该是互相尊重的。但你就此说这是女权？别他妈逗乐了。你去看看zf里有几名女性领导中男女比又是多么偏颇。有人说男暴力女亦然我不完全认同。我说过男女犯罪比例高达90?:3。可能这是古代带回来的习性问题但不可否认的是男性绝无因此继续施暴的理由。所以别跟我扯什么女的也有暴力行为什么有男性暴力行为只是因我爱看。我不爱看的时候就经常刷到了。你说女性暴力只是因为你爱看吧[丰收了]有人说女博主底下不能有男yy评论性转就可以觉得不公平。光这么看确实挺不公平的但是为什么？因为早在女性睁开眼睛之前男就在yy女性了。所以我们现在看到美女评论区底下的蝻会极度厌恶恶心。根本不存在女拳一说只不过是作为破防男的你们断章取义不想放弃自己口中岌岌可危的肥肉罢了。以上所说不带偏见。,2,2,
感觉自己恐男不仅仅是社会大环境的原因，还有小时候青春期发育，父母性教育没做到位，什么都不科普。所以我现在特别羡慕一些拥有强烈性教育意识的父母的小朋友。以后自己挣钱了去看心理医生吧，追溯源头是从小学发育就开始有的，已经是个病了。,2,3,
还666，6你妹啊！那些快手直播的恶臭屌丝男，为什么我发现网上好多男的思维怎么那么恶臭啊！啥那么奇怪啊像小孩子一样真不是我偏见，赚钱也赚得那么没素质，一大老爷们就知道挤人家小姑娘，成功让我恐男了！我祝你们早日升天！,2,3,
记录因为厚颜无耻的无赖而摆烂的两天尽快调整好情绪忙自己的事真令人恐男#情绪##情绪管理#,2,2,
姐妹觉得恶心好几天了吃饭都吃不香了所以放学后我陪她去买点止呕的药昨晚她非常难过的跟我说，她最好的异性朋友之一，在知道这件事之后，居然开玩笑问唉你是不是怀孕了甚至在她表示这样一点也不好笑之后男的还说哎呀只是觉得症状像嘛结合另一个姐妹被职场性骚扰的时候男性好友的态度再结合我遇到过的那些莫名其妙开黄腔的男性我算是明白了为什么我现在恐男我也不想谈恋爱一和男生聊天我就没耐心且易上火只想结束对话仅从我身边案例百分之八十的男人根本不懂什么叫尊重女性剩下百分之二十是要么经历过类似的事情能感同身受要么就是从小的家庭环境让他把尊重别人刻进骨子里妙的是后面这百分之二十我暂时还没遇到过,2,3,
啊啊啊，啊啊啊啊啊，啊啊啊啊啊厌男指数持续增加，真是不想跟有的人有任何瓜葛！,2,2,
朋友说：你怎么比上次聊天厌男10倍了？我回应：谢谢夸奖，觉醒得还是太晚。?,2,1.5,
今天去面试又遇到性别歧视总监举了个例子：如果我招进来一个女的结果没两三个月她说要结婚生孩子了那我不是多一条风险吗妈的女的图啥啊干脆所有工作都男的去做得了男的真的很简单比如怀孕的话女性还要工作兼顾身体男的就顾好自己的工作还会抱怨工作辛苦所以有什么用啊每天恐婚恐育恐男人了爬啦,2,1.5,
再次意识到我家白猫很恐男，家里来了几个朋友，女人靠近的白只是僵硬，男的距离它还有两米远，只是往前走一步就要准备推开我找地方躲藏，这家伙居然知道人类性别好不可思议,1,1.5,
看了亲爱的敌人第一集恐男了....真的，键男人真的太多了,2,1.5,
今天和美女打麻将美女笑死我了她厌男的程度笑死她说自己都要变成同性恋了然后抓牌只要是南风她就说：“南给我滚”“看见南就难受”然后被碰了，她开心的“太好了，不用拿了！”什么牌“当然是我最讨厌的南啊”,2,1.5,
杨鸣出轨、真的惊呆了、我真的沉迷他好长一段时间、我可是除了本命、就没存过别的男人照片啊、好了、恐男更深了、只能说纸片人yyds,2,2,
永远忘不了十袋勺年团盐耗翔和我哥照片并排放着时盐汽水锐评看到我哥真的会恐男感觉会家暴。,2,2,
求求老天爷放过我吧我真的不想理男的我只是为了取悦自己不为了任何人真的是所有软件的男的都别来打扰我烦死我了我厌男行不行,2,2.5,
厌男心很重看到互联网百分之九十的男生发言都想翻白眼互相尊重太难了,2,3,
他爹来了这个家又多了一个让我讨厌的人（配偶弟弟蛾子）我得了厌男症？LDiuDiubaby大大雯的微博视频,2,1.5,
事情不予评价，就一个点。你他妈谈个恋爱花你了你几百万啊？在这犬吠？真为我宝不值，要算把你两2年的账单全拿出来啊，看谁花的多，一段感情谈钱是最没意思的，谢谢再次恐男，有时候真觉得，这个世界没男人肯定更美好。只会让人宫寒的物种，恶心。,2,2.5,
困死我了不想去上学班里还坐了一群似男的不好意思啊上学只会加重我的厌男程度,2,2.5,
看完恋爱综艺开始恐男了算了吧单着还没有那么多狗屁烦恼,2,2,
现在完全被逼成i人了——非必要不社交更喜欢一个人的生活还有就是更恐男了hhh#自由##活着#,2,2,
管我是直是双反正我已经确定要回归日常生活了我喜欢小孩有小孩就得有家所以别管谈不了女生还是厌男没看得上的男生这不重要这也是我这半年没谈恋爱的原因上半年是忙日语学校很忙这半年是下定决心了吧而且出去玩了俩月回来就是忙也懒得接触人了谁也别耽误谁了就是说,2,1.5,
恐男症在加深。。。你以为我看不出来什么意思吗。。。,2,1.5,
#677的废话bot#我又开始恐男了甚至开始怀疑自己的性取向,2,1.5,
这几天不只是厌男指数直线上升，甚至有点恐男的程度了，真的害怕啊朋友们，呜呜呜呜呜呜呜呜呜，比半夜从我腿边蹭过的老鼠可怕太多,2,2,
恭喜李沧东男士给世界恐男事业添砖加瓦，不对，这已经是造了个长城的程度了,2,2.5,
是不是男人过了50一根筋的概率直达99%厌男(50岁以上偏执自大一根筋屁本事没有还喜欢指手画脚独断专行嗓门大的男的),2,1.5,
挪到3楼了，旁边又是一个男的，而且还是计算机的(日常厌男)同专业好有压力,2,1.5,
厌男症状加重我都已经这样了，为什么不能让他们来姨妈姨妈痛呢,2,1,
不敢想象如果我有一个老婆一个女儿该有多快乐，真的好厌男啊啊啊啊啊，三次元的男的都是什么垃圾啊,2,2,
呜呜呜呜为什么没人和我一起看冰壶帅哥完全戳我，穿衣显瘦脱衣有肉，斯文败类成熟肌肉型男救命....主要是认真的样子太帅了（下午刚发表完厌男言论piapia打脸）,1,1,
我刚刚在跟自己说这只是其中的一种并不代表全部并不代表全部我们与其他人沟通的时候没必要把调起那么高，他们不是他，我真的听难过跟气氛的。本来我只需要休息，卧床休息，再处理一些线上的工作就可以了。不，就因为我受伤我还得处理我爸的情绪，我爸的焦虑担忧以及他被拒绝后的受伤。我很难受我真的非常难受！也非常气愤，就永远听不懂话永远沟通不了，我就纳了闷了？我真厌男，非常厌男。就这种玩意我真的气，我处理不了我永远处理不了烦死了快好好沟通不了！老子不想回家他妈也不需要有人来打扰我！就不听！非得来！我真的很烦！,2,2.5,
我看起来很好骗吗？街边吃个雪糕都能找我要微信，还一上来就说出来吃晚饭，我吃你妈，真的别搞我了吧，我恐男,2,3,
厌男并且反胃，恶心到吐的那种，呕，真的还不如单身，也挺快乐的，太恶心了,5,4.5,
虽然我很爱看南桐的小说而且嗑的上头，但是越看越厌男，男人就应该跟男人虐来虐去互相折磨到死，一辈子活在彼此的阴影之下，阴暗爬行,2,1.5,
【投稿】6.25无关jk，在一起五年半，分手一个月，现在白天实习很忙也没空想他，结果晚上还是会难过，每天忍不住的去偷看他的微博他的朋友圈，我害怕他有了新的对象才甩了我，又害怕没有单纯因为不爱了腻了甩了我，我发现他已经走出来了才一个月，而我自己不知道怎么办，平时也会和朋友出去玩，也做过思维导图列举他的缺点企图忘记他，我不知道是不是因为时间太久刻在脑子里了毕竟谈的时候我们俩认认真真考虑过结婚，在一起的时候我才高一，无比单纯付出了很多很多。我现在特别厌男，我感觉没有人会真的一直陪着我，看到周围朋友甜甜的恋爱还是会羡慕，现在我自己也不知道该怎么走出来姐妹们骂我也好给建议也好，我希望可以走出来,2,1.5,
国人为什么会厌男，因为她的亲人，她的父亲生气时都会骂她是“没用的东西”，而她的弟弟跟朋友说笑时都会造她的黄谣。对于她来说，父亲只不过是每天晚上发脾气吃喝玩乐，而弟弟只是一个只会吸血，完全没有边界的蛀虫,2,3,
爱女解哪里是爱女和厌男，明明就是在剥夺女性夸帅哥长得帅的权利。。。看到个说金城武丑男的我真的谢谢，谁分我一个丑成这样的丑男做我老公,1,1,
中国男网友致力拉低我对中国普通男人的期待值。因此我每个月都会有那么几天极度厌男，然而我本身又是一个纯直女，所以我很大可能会孤独终老,2,3,
咱溯溪姐真跟磕了药一样这一天天的舆情观察是根本没有的一天到晚随心所欲嘴上厌男实际上最会转移矛盾指责女的本来高老庄里找的男友你就该稍微藏一藏吧,2,1,
你们没朋友圈的是都把我分组了吗，我现在特别恐男,2,1.5,
从十七八岁的时候就一直听说“25岁是人生的一个分水岭”这下真的迎来了人生的分水岭去年生日的时候想起23岁距离30岁和18岁一样遥远，我才意识到，我的23岁也已经远去了那天和妈妈一起在电脑前看小时侯去旅游的照片，一对比才意识到父母真的老了很多但是在我心里妈妈好像还一直是四十岁左右的模样有的时候我经常会想，要是我到了妈妈现在这个年纪，我会变成什么样子。我不敢想，好害怕自己变老，更想到自己五十岁的时候，父母已经七十多的那种恐惧。十二三岁的青春期总觉得二十五岁已经是个厉害的大人了，会有自己的家庭，直到真正到了小时候幻想的美好年纪才发现也没有那么美好，没有像小时候想象的那么厉害，也没有成家，甚至开始恐婚恐男恐老，也不会像以前那样拥有美好的幻想了。好像一切也不过如此,1,1.5,
我真的会恐男，一个些又油腻又普信的老男人，真以为自己很有魅力吗上来就问美女你有没有对象啊走啊跟我一起吃饭喝酒啊？妈的你活这么大没见过女人是吧，能不能尊重女性啊？,2,3,
我只能说rap是男人最好的医美平时多普的男人一唱rap就开始喊他帅但想想这种男人背地里有多丑有多邋遢我就想呕果然我就是厌男的命,2,1.5,
今日小插曲：厌男症犯的太彻底了（白瞎了我这么多天没说脏话略略略/白眼,2,1.5,
仇富又恐男，但是个看完越来越爱老公酱的好女孩。,2,1,
天呐怎么会有这么菜还自信满满的男的啊？夸你两句那是恭维你还真当自己全世界最帅最厉害了哇我一个恐男癌晚期患者罢了,2,3,
果然近期厌男情绪达到巅峰是合理的。。男的都这么贱的吗。。。喜欢对前任的朋友下手,2,2,
既然说到恐男，就不得不说今天我和??走在路上说话，正聊到兴高采烈之处，突然一个男的拿着皱巴巴的传单过来问我俩需不需要了解健身，直接给我俩吓得抖了三抖（没错就是被吓抖了）。连忙摆手拒绝，到公交车站，??想去买个水，发现自动贩卖机前站着两男的，她竟然说等人走了她再过去，结局当然就是没水喝啦,4,3.5,
地铁硬生生把我逼成了恐男，职场硬生生把我逼成了忍者，还好有小陆让我还可以做自己,2,2,
我会预防性拉黑或移粉，男的请不要私信我，我恐男厌男，看见你我恶心，放我一马。,2,4,
很想吐槽的一个点，本人恐男+社恐所以基本上眼神对视上就会闪躲，并不是你以为的害羞,2,2.5,
每天都会有那么几个男的让人把厌男的情绪推到极致还蛮可怜那种正常男的跟这种哈皮一个类别,2,2.5,
谁能想到因为这短短的大半年我开始极度恐男呢一些所谓的正义的普男真的功不可没,2,2.5,
恐男在这一刻达到了顶峰真的是一和男的说话就只会玛卡巴卡但是为什么面试官基本全是男的我哭ps.我爱麻辣拌嘿嘿嘿,2,2,
真的不是我厌男，有些男的是真的不知道自己有多讨厌。,2,3,
终于知道自己为啥单身到现在。因为宇直吧。别人撩不动，自己不会撩，甚至别人撩没撩也不知道。暧昧更没戏，暧昧没出现之前就喂了——嗷呜。加上还有点厌男，应该是无法结婚的人了。有点惨是怎么回事。寡人说多了，就真成了孤家寡人。嗯就抱抱自己吧。,2,2.5,
吴夏帆是抖音里最会拍言情的看她的视频真的会狠狠的想谈恋爱啊啊啊啊但是一到微博看到有些新闻又恐男了……我还是喜欢纸片人算了,2,1,
做了个梦…梦里遇见一个男的，本着礼貌和好心的原则给他的小宠物送了一些饲料，结果这个男的误以为我喜欢他，一直说着莫须有的话。感觉耳朵受到了污染，于是我选择了离开。在我想要摆脱他回家的时候，我不知道他尾随我，而且还在我不知情的情况下进了我家，当我发现后立马将他赶出去，一个女生用尽全身力气好不容易将他推出去，锁上门，结果他跟发疯了一样再次用他肥胖的身子撞击我家的门，说让我跟他说清楚，到底跟他过不过…在梦里意识到自己不单单是被?骚扰这么简单，遇上精神不正常喜欢臆想的男人更可怕，我压根没有对他表现出任何喜欢，这个大叔年纪的恶臭男真的让一个女大学生害怕。最后他撞门的力度越来越大，门框侧面几乎都要撞裂开了，我吓得让我弟马上打110……这时候门框已经要被他撞开了，我惶恐不安，一边用身躯堵住门一边用眼睛胡乱地看着周围有无防身的东西，直到我看到一把水果刀放在桌子上……梦到这里就结束了。在梦里，我是非常绝望的，因为这个男人真的很可怕，像一只失控的狮子。我可能会在他把门撞开，警察没来之前用水果刀防身，这难免保证不了我会做些什么出格的事情来，但是已经无所谓了，如果换做在现实中，我估计也会这样做。突然发现，不管是现实还是梦境，都会让我遇见不正常的男性，让刚开始满心期待甜蜜恋爱的小女生变得开始厌男，当然不是指所有男性，只是一系列的经历加起来，感觉我的运气未免也太差劲了…,2,2,
其实我真的不太喜欢和不大熟的男的聊天我本来厌男情绪就比较重这哥们到底为啥隔一段时间就要找我聊天….也没办法说人家什么就是给我发个猫猫视频大兄弟还在喂流浪猫说白了可能人不坏给我硬生生卡住,2,3,
最近①对工作还有躺平有了新的定义②晚上吃火锅的路上去买了臭豆腐在店里遇到男的过来调侃我又日常怼男刚刚吃完火锅回家路上看到两个七八岁模样的男女孩子在打闹玩耍男的那个出手之重呐?我日常恐男日常厌男,2,2,
一看甜剧就想恋爱一看家庭剧就厌男嗯还是综艺最快乐,2,1,
今天在看pyq和空间的时候发现好多人上大学以后都找到自己的crush。有时候在想谈恋爱真的是那么重要的事么，为什么我越大会越厌男,2,2,
今日厌男?多大了都还搞不好卫生习惯吗踩到我的雷区真的好容易生气,2,2,
这辈子再也不会看伟大浪漫姐写的屎再也不会听又婴又姨的鲤子哥配的剧，什么玩意啊坚持不下去了我彻底认输哪天要是恐男同文/剧这两位功不可没[丰收了],2,1,
一把子厌男的同时又喜欢看那些真的很甜的情侣们的互动美好的爱情真的有轮不到我而已,2,2,
我求求1??击滚出我的首页。我真的厌丑厌男宁厌喜欢生小孩结婚劳务忙内除外,2,1.5,
中元节健身后去看“我经过风暴”，半夜两个人包场的电影，恐男情绪再次上升↑下定决心好好健身，好好练车??PS.改天再跟男朋友聊聊吧,2,1.5,
我感觉我现在社恐（恐男）越来越严重了今天找工作遇到的HR通过软件交换微信之后通过头像发现是位男士以至于现在还没通过好友申请逃避成了我解决问题的方式,2,2,
本人厌男程度已经到了取关了几个追男星的博主额真的看不了一点男人,2,1.5,
对着厌男又渴男五个字笑了三分钟咋办，zng能不能抄点好的,2,1.5,
今天和室友交流完恐男故事后我开始逛桃花手链了好好看好想买,1,1.5,
都好久没登小号了今天实在是气不顺世界上的好男人呢？正常男人呢？都灭绝了吗是真的生气了我擦活这么久第一次遇到那样一个装呗的男生真给我涨见识只能扣6（你是谁不说删了）是加的人多了？搞不灵清啦哈哈没事～笑笑就过去啦！明天就忘记掉咯才不会管这有的没的还有pp多么美好的一个女孩子哇为什么上天为什么要这么对她呀我真的好喜欢pp不想让她受伤不想被辜负怎么美好的女孩子都要被那么对待呢如果发生在我身上我该怎么办没法感同身受就是好心疼好心疼pp一定要熬过来呜呜所以爱情这个东西真的太泡沫了吧最近都要恐男啦向往归向往现实怎么就是这样子呢好啦难受归难受专业加油减肥加油！然后动力动力！开开心心过五一！天天开心好好生活（一码归一码）,2,2.5,
最近很厌男，非常非常厌男，我想立刻接触又善良又温柔又可爱又正义又干净又整洁又谦逊又低调又有内涵的帅哥哥，真的真的真的太讨厌了那些又邋遢又猥琐又装逼又口臭又大男子主义又动手动脚的男人啦！,2,2,
每天网上冲浪每天的感受就是恐男恐婚恐育???,2,2,
这学期实验室的八卦格外多比如师妹一直跟我讲她和隔壁实验室的一个男生的感情进展再比如师弟追研一师妹被拒除此之外之前帮我谱过曲的朋友和谈了四年的男朋友分了不是不想听只是听多见多了这种爱恨情仇越来越觉得无趣我不知道这种心态对不对但是可以肯定的一点是我越发的不想谈恋爱了是恐男吗不可能恐人更确切,2,2.5,
上交医学院的?加重了我的厌男情绪#李星玮#,2,1.5,
#女子称拒绝镇干部前男友发生关系被打伤#？楠的有病是不是，真的恐男了,2,2,
尽管看侄女说到厌男这种话题会觉得蛮无语，但站在女q的角度大家又都是一个群体，有些男人也确实没有哪一点不值得被讨厌。所以怎么说？做的对！做得好！,2,2,
妹子我真不知道该怎么说你。。。本王自从之前听见你那句要是她是女孩子我就喜欢她了的时候就无大语了。。。你是双早说啊没必要说自己是女同然后说是因为厌男所以双变纯拉。。不是妹子你。。。,2,1,
讨厌男人但性取向为男，救命，厌男还要源源不断被介绍男的，无语死了,2,1.5,
本来就厌男，今天课上那几个男的同时展露出自己的低智的时候我真的很下头?,2,3,
嗯……我只希望未来谈了恋爱的我不要做恋爱脑不要做舔狗不要碰到普信男谢谢，今天又恐男了,2,1,
不怪我有厌男症世上的低质量男人可以原地离世吗坐个地铁空荡荡的非要往你旁边一站一副急着要下车的样子不知道到底在急什么坐个高铁膀子永远要搭在中间的扶手上，还要外放抖音十个里面有七个都一个德行看上去又臭又脏！！恶心男?,2,3.5,
完蛋，厌男情绪巅峰了。以前认识的男性朋友都多次会让我觉得被尊重很贴心，现在认识的新人当中，大面积处于“女性是男性附属品”“女性好生养是对你的礼赞”这样的认知里面。令人作呕。,2,3,
直接恐男了啊包被恐男了普信男赶紧死吧赶紧的,2,2.5,
世界上所有的男的果然都一个烂样子，我还在抱什么期待啊，恐男恐男恐男恐男,2,2,
住在这边，让我最深刻的感受就是，越来越厌男了(指某些不礼貌没道德心恶臭自以为是的普信男),2,2.5,
我终于知道为什么我虽然厌男但特别迷恋小明的原因了因为我从没把她当爷们,2,1.5,
cc子的秘密小分队超话好烦，范丞丞真的又帅又可爱又懂礼貌又努力，我本来很厌男的,2,1,
今天吃饭旁边坐了一对男女是那种还没有在一起貌似刚认识还处于暧昧期并且还是第一次见面的那种女生点了个蔬菜沙拉?男生点了个鸡排饭?都是好小一碗并且说话什么的都好尴尬但是我和小耗子桌子上有六个菜一碗米两杯饮料边聊边吃都吃完了妈的吃饭不能点一堆自己想吃的对面还不是自己的饭搭子说话还有一句没一句想着我就难受我觉得我这辈子不会和男生吃饭了怕尴尬的不知道怎么张嘴麻痹的厌男(理想型的大帅哥除外),2,1,
一边说自己“厌男”，一边做擦边主播，是什么意思,2,1,
突然发现，我这个死样子，要不是从学校里带了个男人出来大概率会孤独终老条件好的：条件这么好还单到现在肯定有问题条件不好的：条件不好我找了干嘛而且网上冲浪多了多少有点厌男，我对陌生的男人有一股天然且猛烈的敌意，并且我十分讨厌相亲，朋友介绍的都不行。我爸妈真应该庆幸我和wjk结了婚,2,1,
又看到“生而为异性恋我很抱歉”这种话真的很无语，你他妈厌男你就别谈，有什么好抱歉的，又不是不得不做的事情，在垃圾堆里捡不到宝可把你给委屈死了,2,1,
刚开始自己去医院看医生的时候就好想有人陪着啊可那时候没有，后来就慢慢习惯了，再到后来有时候时间充裕我会“逛一逛”医院的其他楼层，看一看，听一听。要是突然有人说陪你看医生，不了不了不了离我远点我们不熟我八百倍速逃跑人就是这样的，自己好不容易熬过一关又一关达到了一种平衡，别人突然来一脚显示自己的关怀备至或是什么，没必要，不需要，也不要。就很反感，感觉什么都是假的，当然如果是美女就另当别论了（我完了我厌男情绪越来越严重了这不知道咋整,2,1,
感觉自己要厌男了?现在想起来真的很恶心真的特别恶心,2,1.5,
阿西。。。真的烦死了。。。10勤最烦的就是37了，最近因为26被迫看了太多37了，恐男症都犯了啊啊啊啊啊,2,1,
最近真的厌男有异性和我聊天约我吃饭我都是骂骂咧咧最后爽约的看见男的就很烦厌男,2,2.5,
我觉得我身边每一对情侣好朋友都特别好，特别甜，永远祝福他们，在我眼里都在冒粉色泡泡，不管咋样我都觉得可真幸福反观我自己恐恋爱恐婚恐孕恐男以前还没有这么严重，但我真的越来越恐所有男性咱们当哥们就成害不都是姐妹,2,1.5,
很神奇呗！我跟我姐完全没有血缘关系（因为离异但是第一次见面也能聊很好呗，大家都很轻松没负担喜欢跟女孩子贴贴～相反聊类似话题跟学校里的学长就很…也不知道怎么说，总感觉有说教的感觉（可能是他个例也可能是我恐男啊啊内向人讨厌聊天只喜欢讲笑话捏,2,1,
我真的厌男了，路上看到陌生男人，我就会非常厌恶他，就觉得：恶心男人。,2,3.5,
厌男情绪在此刻达到巅峰真的好讨厌没有边界感的人！！！,2,2.5,
每次在公交车上有男性靠近我我就发现我是真恐男,2,2,
三次元的男人太恐怖了，幸好当事人不是我不然我直接恐男，虽然已经恐男了，9命哇打西呀吧里好好喜欢二次元纸片人吧??,2,1.5,
#南非#评论区的有些男的是不是以为他们自己离了x欲就活不了别人就也是这样啊……渴女又厌女。爽一把s了和好好活着如果必须选一个他们一定会选择前者。他们完全没有随着人类进化而变得有一丝丝文明，野蛮粗鲁暴力。今日份恐男恐婚恐育达成,2,2,
动不动说厌女，我才被这些普信男搞的恐男是真的,2,1,
其实不是恐男，是恐低素质油腻男恶心得我想呕,3,1,
自己来吃饭隔壁桌全是男的还好几桌想逃恐男实锤了,2,2,
不是你一边说你恐男一边说你看上哪个男生这么撩想谈恋爱有意思吗,2,1,
我现在比猫头鹰都清醒只是不想恋爱的厌男的小女孩罢了,2,1.5,
此时此刻恐男的心理达到了顶峰梦里的我都要疯了终于和现实世界的受害人感同身受了我满心欢喜的去找我爱的人玩，有一个男性大半夜跑进了我的宿舍，找到了我的床位，在我的床上睡了一晚上，走的时候还大胆的翻了我的东西，顺走了我的东西，并在监控面前猖狂的做鬼脸。我的舍友告诉我：有一个陌生男人在我的床上过了一夜。此时此刻我的恐惧值达到了顶峰，梦里我在一直请他向我道歉，我一直在找能够让他向我道歉的办法，我去查监控，但是宿管阿姨和我的朋友都像不当一回事一样，说：有什么好查的吗。我找到他，我问他是怎么进到女生宿舍里的，看不出来是女生宿舍吗？他毫不在意的边笑边摆鬼脸说：你就当我晚上吃的火锅把我辣傻了吧。我不明白，这跟我有什么关系，为什么是我。我努力找到我宿舍里有价值的东西，尽量让这起类似于猥亵的案件变成入室抢劫。我的朋友都很开心的享受大学生活，我还在为了让那个男人判刑四处奔走，..他还是cc的朋友。然后突然，cc一个回旋踢把我踢醒了，一时间不着是该感谢她还是怎么，把我从噩梦中救了出来，我更希望cc在梦里也救救我。cc说和妈妈打电话了，我很懵，凌晨四点怎么会打电话，她含糊不清的嘟囔了几句，我知道了，她做噩梦了，好可怜的cc，我在你身边呢，一直都在。不知道cc一个人住的时候做了恶梦会怎么办。,5,3.5,
我真的要得厌男症了厌男情绪越来越严重怎么办想撩你这么尴尬无语的话是怎么说出来的我回复一个好的你开始撩吧？,2,1,
sos因为最近社交活动变多导致我的尴尬症和厌男症最近每天都在发作啊啊啊啊啊啊啊啊啊果然还是宅家适合我??????,2,2.5,
总是时不时的厌男恐男，，，又时不时想和男的聊天谈恋爱。。服了,3,1,
没法不群体性厌男。在男的成为一个具象的人类之前没法给予很多的尊重，先翻个白眼不过分。,2,2.5,
我现在处于一种很郁闷的状态不知道是不是姨妈作祟我真的很想谈恋爱但我只想和毛毛鞋谈但是毛毛鞋并不可能和我而我又喜欢不上别人她太特别独一无二真的遇不到第二个像她的她的身高长相性格真的不可能遇到第二个就怕这辈子只喜欢她一个了那我真的一辈子都单了我好想和她说这些我想知道她的想法虽然应该就是拒绝但我总是侥幸因为她说了句她恐男那我是不是有一点点希望这次见面我能感受到很明显的距离感碰到一下就躲开了那种以前天天抱着的关系现在碰一下都碰不了谁能解救我一下,1,1,
为什么游泳馆不能分性别游！！！！每次来游泳我的厌男就会达到顶峰,2,3,
靠北，我好像有那个恐男症……别人恋爱，我：恭喜恭喜，我好羡慕！有人说喜欢我，我：蛙趣，泥奏凯不分对方条件，抗拒到死我这辈子跟恋爱结婚还有缘分么,2,2,
我总是会被男的讲的一些话震惊到。有在恐男?,2,1.5,
今日又略微陷入厌男情绪中，导致连星也不想追。就我这种比事特别多还长得不咋滴的女的，不孤独终老都说不过去。,2,1.5,
非得用气泡音吗？吓得我暂停做题就为了重听这个。。。没想到专八听力真题也能让我产生厌男情绪。。。Lpink1号的微博视频,2,2,
昨天一个接触时间不到一周的男的问我哪天回国提出跟我一起回国。我说你要考虑两点，一是宿舍到期后要有地住一周，二是机票充裕但你自己的酒店要提前订好，然后人就不吭声了，不知道是不是活在梦里。还有一个男的在我两次午餐没去之后来质问我-都是为了你你却不领情，一气之下还把我移出了群聊。Fine还是你们有脾气每日厌男情绪up,2,3,
p1朋友圈不给看图p2凌晨5点入住民宿的门口p3谁能想到光鲜亮丽的周理裙子下面是条玉桂狗睡裤呢p4终究还是有两个菜鸡p5奋战通宵第二天大家脑壳整个都是晕的p6下午4点大家陆陆续续清醒p7大合照缺猴p8市委书记都没俞总回家有排面p9这个锦旗文案毫无疑问出自损色-周理俞总金句/俞:你怎么闯红灯啊我:这不是没人了吗难道福建不闯红灯？俞:是中国人不闯红灯我:到时候我想开发一个滴滴摩的小程序你们愿意帮助我吗俞:怎么？是想让我们做你的骑手吗？大家都在吐槽现在的恋爱不懂网恋不接受相亲恐男等等俞:所以你们明白群里为什么单身这么多年了吗？下次见/俺的好朋友们,1,1.5,
食堂兼职有个长发帅哥我决定这几天都去吃那家！！！！帅哥治愈我恐男妈的,1,1,
妈咪出现在我不那么厌男的最后一年…然后妈咪就是女的了真好真好,1,1,
挺恐男的本来一个人面试就有点害怕这下更害怕了,2,1.5,
我永远会对互联网怀揣着不解吧什么年代了有些人还是说话不不过脑子吗真的会恐男,2,1,
??：给你介绍男朋友吧……我：??不了不了我恐男,2,1.5,
我疯了呀，中年男人太可怕了，上车拖鞋把脚搭到我这边，一直声音很大的打电话，好像公务很忙的样子，还要打电话和别人讲道理，我真的，我差点觉得他要是不打这个电话，地球就不转了，内心真的一万头草泥马，烦都烦死了，啊啊啊啊啊啊啊啊啊。我有点怀疑别是男人老了都是这样吧，那我祝福自己单身一辈子，我和他再多坐几个小时的车，我就要恐男了。这辈子没有对一个陌生人这么无语过。,2,3,
#那种一直不谈恋爱的最会玩#整天上网冲个浪还要被骂爷恐男还不行么,2,1.5,
2023快乐呀！2023开心往前飞！今年除了发了红包，也收到了2023的第一个红包！真好！也许因为不知道为什么的莫名恐男，我总和我身边的男性朋友现实中不知道怎样说话，但是被人惦记的感觉真的很好！无关风月，我希望你们，我们，一直一直好下去！,2,1,
跟室友周末两天看孩子特种兵训练，两个人两天看两个小孩，怎么说呢，也过来了。去了码头买海鲜，串门，去买了点我吃的零食，就是我的脑袋有点大，听了两天我鹅子的哭腔抱抱，有点烦，导致我最近厌男，男的都离我远点,2,2,
有人厌男有人厌女我好像讨厌所有人类有人的地方我就烦人多的地方我就发脾气我应该离开地球说实在的这个性格像是从小就有的没发生什么事但也不知道是为什么会出现看自己八字午午自刑命带华盖好了性格急躁又孤僻可能真是命里带的,2,1.5,
#唐山称打人事件给这座英雄的城市抹了黑#我已经恐男了谢谢,2,2,
啊啊啊啊啊我恐男行了吧行了吧行了吧我再也不和男生讲话了…我真的我头晕脑胀…呜呜呜呜呜呜呜呜呜呜,2,4,
*饭后在闲聊姥姥:女铜不好我:可是我恐男妈妈:赵路我:（沉思）（目移,2,1,
久久回一次深圳第一想法竟是逃离，再待在这我真要恐男了。,2,1.5,
在这上班再一次让我见识到了男的多样性现在听见男的说话就想吐看见男的就烦特别厌男,2,3.5,
周围唯二正常的，我还觉得很可爱很喜欢的两个男生，胖超和糖糖。别的男生怎么都那么讨厌啊。厌男了。,2,1,
恐男情绪也是早就上升到连男老师的网课都不听的境界了,2,2.5,
