number,weibo_text,tokenized_text,opposite_sex_social_avoidance_1,opposite_sex_social_avoidance_2,opposite_sex_social_avoidance
314,一直舍不得看，终于忍痛昨天看完，对于丧尸片的热爱让我一直以为自己心理或许有问题，不得不说看完真是酣畅淋漓，意犹未尽，恨不得冲到网飞偷出第三季的全部！差评吐槽女神出场时间太晚的怕是看女神大于剧情，恶补了故事背后的历史，真是慨叹编剧的用心，这种不留一丝怜悯之心大快朵颐的复仇之举让人心血澎湃！！对，我就是要灭了你们全国，然后加入我的丧尸族群，何等霸气又决绝，可能又要犯厌男症了…为女神疯狂打call，yyds！无敌期待第三季能出演，杀到片甲不留。王国：北方的阿信,一直/舍不得/终于/忍痛/昨天/看完/丧尸/片/热爱/一直/心理/或许/问题/不得不/看完/真是/酣畅淋漓/意犹未尽/恨不得/冲到/网飞/偷出/第三季/差评/吐/槽/女神/出场/时间/太晚/怕/女神/大于/剧情/恶补/故事/背后/历史/真是/慨叹/编剧/用心/这种/不留/一丝/怜悯之心/大快朵颐/复仇/之举/心血/澎湃/要灭/全国/加入/丧尸/族群/何等/霸气/决绝/要犯/厌男症/女神/疯狂/callyyds/无敌/期待/第三季/出演/杀到/片甲不留/王国/北方/阿信,3,1,2
315,去年10月和wj去横店看完两个小咔回来就塌了一个还上热搜了这个月初刚上头wxy本来还想着去川西前跟wj路过横店呆几天去看看他结果提前塌了我这该死的眼光上头的都是啥人啊为什么粉个电子男人都要被背刺这个世界是真的想让我当尼姑是吧越来越厌男了,去年/10/月/wj/横店/看完/咔/回来/塌/热/搜/月初/刚/上头/wxy/本来/想着/川西/前/wj/路过/横店/呆/看看/提前/塌/该死/眼光/上头/粉个/电子/男人/背/刺/世界/尼姑/越来越/厌,3,1,2
316,#上外尹某某已被公安带走#最近这新闻看得真的恐男了....,尹/公安/带走/最近/新闻/看得/恐男,3,1,2
317,wb真搞笑随时都有女的说自己恐男然后被很多人附和但凡一个男的说恐女马上就群起而攻之了……这就是所谓的平等吗（本人也恐♂纯粹看不惯当biao子还要立牌坊的某些女的罢了）,wb/真/搞笑/女/恐男/很多/附和/恐女/马上/群起而攻之/所谓/平等/恐/纯粹/看不惯/biao/子/立/牌坊/女,1,1,1
318,因为跟朋友老是骂朋友圈所有的女的的丑老公，以至于有点时间我在想是不是因为我厌男所以看那些男的都觉得丑。直到有一天出现了个不丑的老公才发现其他人的老公是真丑啊,朋友/老是/骂/朋友圈/女/丑/老公/时间/是不是/我厌/丑/出现/不/丑/老公/发现/其他人/老公/真/丑,2,1,1.5
319,今天考完试了古文西文学科语文微格古文比我想象的简单，但是主观题还是等待老师给分学科语文只能说是贵人相助了微格，老师很温柔，我永远喜欢温柔小姐姐西文，哈利波特主题写得像小学生作文，真的需要练练文笔中午很开心的吃了顿饭下午看见了不好的新闻“善良能给人带来什么呢”这是目前一直在思考的问题有点开始恐男了…,今天/考完试/古文/西文/学科/语文/微格/古文/想象/简单/主观题/等待/老师/分/学科/语文/只能/贵人相助/微格/老师/温柔/喜欢/温柔/小姐姐/西文/哈利波/特/主题/写/小学生/作文/需要/练练/文笔/中午/开心/吃/顿饭/下午/看见/不好/新闻/善良/带来/目前/一直/思考/问题/恐男,1,1,1
320,师弟190还总秀肌肉我：恐男了谢谢怎么说，四肢发达确实需要头脑简单一点来增加亲和力（不是,师弟/190/总秀/肌肉/我恐/四肢发达/确实/需要/头脑/简单/一点/增加/亲和力,1,3,2
321,看完更恐男了不过跟朋友们一起窝在厨房看电影可太舒服啦,看完/更恐/朋友/一起/窝/厨房/电影/可太/舒服,1,1,1
322,感觉自己越来越厌男了一想到是男的我就看他很不爽,越来越/厌/想到/不爽,3,1,2
323,我舍友好可爱厌男第一，跟我说什么，好多女生被男的害了。还跟我说她有一个女性朋友也很渣，又谈男又谈女。我。,我舍/友好/可爱/厌/第一/好多/女生/害/女性朋友/渣/谈/谈/女,1,1,1
324,林K长得好看这事还挺让人欣慰的，就像同样的道理男的说就会更让人信服（?一般的社会偏见），“厌男”的话美女说也会更让人信服,林/K/长得/好看/这事/挺/欣慰/同样/道理/更让人/信服/偏见/厌/美女/更让人/信服,1,1,1
325,事实证明我真的恐男了。。不管是好是坏都有点害怕,事实证明/恐男/坏/害怕,3,1,2
326,真的被自习室左右两边俩男的烦到想回家复习并且开始厌男,左右/两边/俩/烦到/回家/复习/厌,3,3,3
327,我真的好不喜欢有男的在我身边，特别是现在这份工作，周围男的浓度过高，我难道恐男吗？还是simply恐78罢了……我不想要他们给我讲不是机器人和机器人之间才会有的对话，不想要他们帮我而这还是因为我东西搬不动我确实无计可施，不想要他们给我抛一个我不知道他们在干嘛在开心什么的表情Jesus,不/喜欢/身边/特别/这份/工作/周围/浓度/过高/难道/恐男/simply/恐/78/不/想要/讲/机器人/机器人/之间/对话/不/想要/帮/东西/搬不动/确实/无计可施/不/想要/抛/不/知道/开心/表情/Jesus,2,3,2.5
328,有些男的整天说你们这么讨厌男的也说明讨厌你爸呗笑死我了是啊讨厌啊怎么了老子的厌男恐男就是我爸从小培养出来的,整天/讨厌/说明/讨厌/爸/笑死/讨厌/老子/厌/男恐/我爸/从小/培养出来,1,1,1
329,#举报钱枫女子回应警方通报#那些骂警察的女拳些，如果你们觉得处处受委屈，求求你们放弃国籍离开中国好么，去国外看看是不是你们吹嘘的平权得到尊重，没有一点脑子无脑跟风黑，现在的微博女拳已经到了厌男的地步，挑起男女对立，被某些歪屁股境外势力当枪使还觉得自己正义凛然,举报/钱枫/女子/回应/骂/警察/女/拳些/处处/受委屈/求求/放弃/国籍/离开/中国/国外/看看/是不是/吹嘘/平权/得到/尊重/没有/一点/脑子/无脑/跟风/黑/微博/女拳/厌/地步/男女对立/歪/屁股/境外/势力/当枪/正义凛然,3,1,2
330,我太他娘难过了哭得脑袋疼为什么我又看了一遍我是嫌自己活的太快乐了么厌男plus了,太/娘/难过/哭/脑袋/疼/一遍/嫌/活/太/快乐/厌/plus,1,1,1
331,(??ω???‖)?再一次做梦梦见前男友，迷迷糊糊里我记得我叹气说了一句“你以后真的别来我梦里了，我在哪都不想见到你”我的老天爷，我到底什么时候才能走出此人带给我的阴影，我严重恐男真的拜他所赐。,一次/做梦/前男友/迷迷糊糊/记得/叹气/一句/以后/别来/我梦里/不想/见到/老天爷/到底/走出/此人/带给/阴影/严重/恐男/拜/赐,2,1,1.5
332,最近是怎么了，越来越恐男了我现在晚上都不敢出去了，以后不会白天也不敢出去了吧,最近/越来越/恐男/不敢/出去/以后/不会/白天/不敢/出去,3,2,2.5
333,看微博看多了真的会恐男...会觉得男的自尊真tm可怕，追求你你拒绝了还有一定几率杀你全家，不能再刷微博了?,微博/看多/会恐/男会/自尊/真/可怕/追求/拒绝/几率/杀/全家/不能/再刷/微博,4,1,2.5
334,真的要厌男了真的很烦很讨厌再给我打电话我真的要骂人了?,要厌/很烦/讨厌/打电话/骂人,3,2,2.5
335,每一次见面都值得被记录ps：和好友聊完以后更加厌男,一次/见面/值得/记录/ps/好友/聊完/以后/更加/厌,2,1,1.5
336,几百年不联系的亲戚要介绍男朋友天知道我厌男症晚期对谈恋爱什么的生理性厌恶我只想一个人孤独终老,几百年/不/联系/亲戚/介绍/男朋友/天知道/我厌/男症/晚期/谈恋爱/生理性/厌恶/孤独终老,2,2,2
337,今天恐男情绪到达顶峰半辈子不想谈恋爱不想靠近男的,今天/恐男/情绪/到达/顶峰/半辈子/不想/谈恋爱/不想/靠近,2,3,2.5
338,本来最近有点儿厌男情绪警察蜀黍凭一己之力打消了我这个念头,本来/最近/有点儿/厌/情绪/警察/蜀黍/一己/之力/打消/念头,1,1,1
339,因为专业没什么男的所以对一堆男的这种群体性概念已经模糊了但一到期末泡图书馆就会马上深深厌男啊又臭又有多动症又爱发出噪音想把他们全丢出去?,专业/没什么/这种/群体性/概念/模糊/一到/期末/泡/图书馆/马上/深深/厌/臭/多动症/爱/发出/噪音/全/丢/出去,2,3,2.5
340,周末真的好多男的在撸铁，给我油的，我真实恐男了,周末/好多/撸/铁/油/真实/恐男,3,1,2
341,厌男情绪上头的时候别说我担了我爸都要被我骂两句。最近怎么总是被男的骚扰恶心???,厌/情绪/上头/我担/爸/骂/两句/最近/总是/骚扰/恶心,2,2,2
342,二次元，同人女和以前的追星族有区别吗？cp是要磕的，游戏是不玩的，谷子是要买的，心理是厌男的，性取向是女同的。知道你们喜欢bl是最高贵的生物了，但互通肛门有什么好看的#二次元##ff7sc##同人#ff7超话,二次元/同人/女/以前/追星族/区别/cp/磕/游戏/不/玩/谷子/买/心理/厌/性取向/女同/知道/喜欢/最高/贵/生物/互通/肛门/好看/二次元/ff7sc/同人/ff7,1,1,1
343,一边说自己厌男一边喊好想要男朋友咋想的啊宝宝,一边/厌/一边/喊/想要/男朋友/宝宝,1,1,1
344,我的妈啊。。我真是对我室友的男朋友无语了。厌男。。。视频跟我室友讨论520的礼物，我室友问她的礼物是什么，男的就说那我也没收到礼物啊，结果就是男的得到礼物。但我室友没见收到?。。。我室友跟他说买了套衣服，这男的直接“那你给我买衣服没”我他妈？？想骂人了。。。,妈/真是/室友/男朋友/无语/厌/视频/室友/讨论/520/礼物/室友/问/礼物/没收/礼物/得到/礼物/室友/没见/收到/室友/买/套/衣服/直接/买/衣服/没/妈/骂人,1,1,1
345,我妈见到我：为啥你把自己打扮的像个男的我：我现在有点恐男…,我妈/见到/为啥/打扮/恐男,2,1,1.5
346,每天一个恐男小技巧，男的就这么管不住下半身吗,每天/恐男小/技巧/下半身,3,1,2
347,又看了一遍卖油郎独占花魁，现在还有这样知情知趣儿的秦卖油吗？我真的有些恐男了除了我爸，没男的会真的对我好吧,一遍/卖油郎/独占/花魁/知情/知趣/秦卖/油/恐男/我爸/没,2,1,1.5
348,不管林丹多么厉害我看到他名字第一反应就是搂着小三拍屁股的那个动图针几把隔应人我现在这么厌男真是一点一点被渣男恶心出来的,林丹/厉害/看到/名字/第一/反应/搂/小三/拍/屁股/动图针/几把/隔应/厌/真是/一点一点/渣男/恶心,3,1,2
349,男人有啥用？除了添堵，还有啥用？好烦，厌男症。赶紧走开走开。,男人/添堵/烦厌/男症/赶紧,2,2,2
350,女人下了狠心，最多也就是离开；而男人（不是全部）……热搜使人间歇性恐男,女人/狠心/最多/离开/男人/热/搜使/间歇性/恐男,3,1,2
351,我真的越来越厌男了。。已经到了看到男的就像呕的程度。,越来越/厌/看到/程度,2,4,3
352,让我爬楼不等电梯居然是因为前面太多男的恐男了,爬楼/不等/电梯/居然/是因为/前面/太多/恐,2,3,2.5
353,p1：和饭搭子的第一顿饭p2：烤肉吃了半天也不知道吃的什么肉p3:送给姥姥的生日榴莲?晚上宿舍聊天好多炸裂的事情，离恐男不远了,p1/饭/搭子/一顿饭/p2/烤肉/吃/半天/不/知道/吃/肉/p3/送给/姥姥/生日/榴莲/宿舍/聊天/好多/炸裂/事情/离恐/不远,1,1,1
354,感觉自己要被逼成厌男症了我国恶臭直男今天死了吗？,逼成/厌男症/我国/恶臭/直/今天/死,2,2,2
355,那些男的一评论我抖音我就觉得好下头……我越来越厌男了,评论/我抖音/下头/越来越/厌,2,1,1.5
356,梦见帅T带我去超市梦见她给我前所未有的安全感厌男症犯了,帅/T/带我去/超市/前所未有/安全感/厌男症/犯,1,1,1
357,感谢svt治愈了我的厌男症??克拉虽远必到????,感谢/svt/治愈/厌/男症/克拉/虽远/必到,1,1,1
358,直说了！厌男！吊癌别来！爹味大爷请去教育你儿子，别来我这儿说教！我懂的比你更多，不需要你来教我做事！,直说/厌/男吊癌/别来/爹味/大爷/请/教育/儿子/别来/说教/懂/更多/不/需要/教/做事,2,3,2.5
359,我真的要恐男了男的好无聊除非给我个长得帅的搞笑男,恐/无聊/长得帅/搞笑,2,1,1.5
360,哥们，我和你都不是一个班的，你为什么每次从我身边走过都要抱怨几句说几句话。。。上次我和室友在回宿舍路上抱怨说考试考砸了，然后你开始安慰我，你的好意我心领了，但是我是很小声的在和室友吐槽啊啊啊啊啊啊主要是咱俩真的不熟啊啊啊啊，你一直安慰我搞的我好尴尬啊，而且。。我恐男都写脸上了,哥们/一个班/每次/身边/走过/抱怨/几句/几句话/上次/室友/回/宿舍/路上/抱怨/考试/考/砸/安慰/好意/我心/领了/小声/室友/吐槽/主要/咱俩/不熟/一直/安慰/搞/尴尬/我恐/写/脸上,3,1,2
361,我不怕有人通过评论摸到这条微博。我虽然恐男厌男但是我和他们说话时是理智且不带偏见的即使评论区的他们作为社会失败的产物一上来就人身攻击我。高学历并不代表好人品很多时候我觉得我身边的人甚至不如学习不好的人有人情味。看到高学历的人说出女权社会这种话时我更坚信了这一点。我觉得现在短视频里女欺负男可以反之则不行的行为确实很令人费解但也就博博眼球。真正相爱的人应该是互相尊重的。但你就此说这是女权？别他妈逗乐了。你去看看zf里有几名女性领导中男女比又是多么偏颇。有人说男暴力女亦然我不完全认同。我说过男女犯罪比例高达90?:3。可能这是古代带回来的习性问题但不可否认的是男性绝无因此继续施暴的理由。所以别跟我扯什么女的也有暴力行为什么有男性暴力行为只是因我爱看。我不爱看的时候就经常刷到了。你说女性暴力只是因为你爱看吧[丰收了]有人说女博主底下不能有男yy评论性转就可以觉得不公平。光这么看确实挺不公平的但是为什么？因为早在女性睁开眼睛之前男就在yy女性了。所以我们现在看到美女评论区底下的蝻会极度厌恶恶心。根本不存在女拳一说只不过是作为破防男的你们断章取义不想放弃自己口中岌岌可危的肥肉罢了。以上所说不带偏见。,有人/评论/摸到/这条/微博/恐男厌/说话/时/理智/不带/偏见/评论/区/失败/产物/人身攻击/高学历/不/代表/人品/很多/身边/学习/不好/人情味/看到/高学历/说出/女权/这种/话/时/更/坚信/一点/短/视频/女/欺负/不行/行为/确实/令人费解/博博/眼球/真正/相爱/应该/互相/尊重/就此/女权/妈/逗乐/看看/zf/几名/女性/领导/中/男女/偏颇/有人/暴力/女/亦然/不/完全/认同/男女/犯罪/比例/高达/903/这是/古代/带/回来/习性/问题/不可否认/男性/绝无/继续/施暴/理由/别跟我/扯/女/暴力行为/男性/暴力行为/爱看/不/爱看/经常/刷/女性/暴力/爱/看吧/有人/女博主/底下/不能/评论性/转/不/公平/光/确实/挺/不/公平/早/女性/睁开眼睛/之前/女性/看到/美女/评论/区/底下/蝻/极度/厌恶/恶心/根本/不/存在/女拳/一说/只不过/破防/断章取义/不想/放弃/口中/岌岌可危/肥肉/所说/不带/偏见,2,2,2
362,感觉自己恐男不仅仅是社会大环境的原因，还有小时候青春期发育，父母性教育没做到位，什么都不科普。所以我现在特别羡慕一些拥有强烈性教育意识的父母的小朋友。以后自己挣钱了去看心理医生吧，追溯源头是从小学发育就开始有的，已经是个病了。,恐男/不仅仅/环境/原因/小时候/青春期/发育/父母/性/教育/没/做到/位/不/科普/特别/羡慕/拥有/强烈/性/教育/意识/父母/小朋友/以后/挣钱/心理医生/追溯/源头/是从/小学/发育/病,3,3,3
363,还666，6你妹啊！那些快手直播的恶臭屌丝男，为什么我发现网上好多男的思维怎么那么恶臭啊！啥那么奇怪啊像小孩子一样真不是我偏见，赚钱也赚得那么没素质，一大老爷们就知道挤人家小姑娘，成功让我恐男了！我祝你们早日升天！,6666/你妹/快手/恶臭/屌丝/发现/网上/好多/思维/恶臭/奇怪/小孩子/真/偏见/赚钱/赚/没/素质/大老爷们/知道/挤/小姑娘/成功/恐/祝你们/早日/升天,3,3,3
364,记录因为厚颜无耻的无赖而摆烂的两天尽快调整好情绪忙自己的事真令人恐男#情绪##情绪管理#,记录/厚颜无耻/无赖/摆烂/两天/尽快/调整/情绪/忙/事/真令人/恐男/情绪/情绪/管理,3,1,2
365,姐妹觉得恶心好几天了吃饭都吃不香了所以放学后我陪她去买点止呕的药昨晚她非常难过的跟我说，她最好的异性朋友之一，在知道这件事之后，居然开玩笑问唉你是不是怀孕了甚至在她表示这样一点也不好笑之后男的还说哎呀只是觉得症状像嘛结合另一个姐妹被职场性骚扰的时候男性好友的态度再结合我遇到过的那些莫名其妙开黄腔的男性我算是明白了为什么我现在恐男我也不想谈恋爱一和男生聊天我就没耐心且易上火只想结束对话仅从我身边案例百分之八十的男人根本不懂什么叫尊重女性剩下百分之二十是要么经历过类似的事情能感同身受要么就是从小的家庭环境让他把尊重别人刻进骨子里妙的是后面这百分之二十我暂时还没遇到过,姐妹/恶心/吃饭/吃不香/放学/陪/买点/止/药/昨晚/非常/难过/最好/异性/朋友/知道/这件/事/居然/开玩笑/问/是不是/怀孕/表示/一点/不好/笑/症状/结合/姐妹/职场/性骚扰/男性/好友/态度/结合/遇到/莫名其妙/开黄腔/男性/算是/明白/恐男/不想/谈恋爱/男生/聊天/没/耐心/且易/上火/只想/结束/对话/仅/身边/案例/百分之八十/男人/根本/不/懂/尊重/女性/剩下/百分之二十/经历/类似/事情/感同身受/从小/家庭环境/尊重/刻进/骨子里/妙/后面/百分之二十/暂时/没/遇到,3,3,3
366,啊啊啊，啊啊啊啊啊，啊啊啊啊啊厌男指数持续增加，真是不想跟有的人有任何瓜葛！,厌/指数/持续/增加/真是/不想/瓜葛,2,2,2
367,朋友说：你怎么比上次聊天厌男10倍了？我回应：谢谢夸奖，觉醒得还是太晚。?,朋友/上次/聊天/厌/10/倍/回应/夸奖/觉醒/太晚,2,1,1.5
368,今天去面试又遇到性别歧视总监举了个例子：如果我招进来一个女的结果没两三个月她说要结婚生孩子了那我不是多一条风险吗妈的女的图啥啊干脆所有工作都男的去做得了男的真的很简单比如怀孕的话女性还要工作兼顾身体男的就顾好自己的工作还会抱怨工作辛苦所以有什么用啊每天恐婚恐育恐男人了爬啦,今天/面试/遇到/性别歧视/总监/举/例子/招进来/女/没/两三个/月/结婚/生/孩子/一条/风险/妈/女/图/干脆/工作/做/简单/怀孕/女性/工作/兼顾/身体/顾好/工作/还会/抱怨/工作/辛苦/每天/恐婚/恐育/恐/男人/爬,2,1,1.5
369,再次意识到我家白猫很恐男，家里来了几个朋友，女人靠近的白只是僵硬，男的距离它还有两米远，只是往前走一步就要准备推开我找地方躲藏，这家伙居然知道人类性别好不可思议,再次/意识/我家/白猫/很恐/家里/朋友/女人/靠近/白/僵硬/距离/两米/远/往前走/一步/准备/推开/找/地方/躲藏/家伙/居然/知道/人类/性别/不可思议,2,1,1.5
370,看了亲爱的敌人第一集恐男了....真的，键男人真的太多了,亲爱/敌人/第一集/恐男/键/男人/太多,2,1,1.5
371,今天和美女打麻将美女笑死我了她厌男的程度笑死她说自己都要变成同性恋了然后抓牌只要是南风她就说：“南给我滚”“看见南就难受”然后被碰了，她开心的“太好了，不用拿了！”什么牌“当然是我最讨厌的南啊”,今天/美女/打麻将/美女/笑死/厌/程度/笑死/变成/同性恋/抓牌/南风/南/看见/南/难受/碰/开心/太好了/不用/牌/讨厌/南,2,1,1.5
372,杨鸣出轨、真的惊呆了、我真的沉迷他好长一段时间、我可是除了本命、就没存过别的男人照片啊、好了、恐男更深了、只能说纸片人yyds,杨鸣/出轨/惊呆/沉迷/好长/一段时间/本命/没存/男人/照片/恐/更深/只能/纸片/yyds,3,1,2
373,永远忘不了十袋勺年团盐耗翔和我哥照片并排放着时盐汽水锐评看到我哥真的会恐男感觉会家暴。,忘不了/十袋/勺/年/团盐/耗翔/我哥/照片/排放/时/盐汽水/锐评/看到/我哥/会恐/家暴,3,1,2
374,求求老天爷放过我吧我真的不想理男的我只是为了取悦自己不为了任何人真的是所有软件的男的都别来打扰我烦死我了我厌男行不行,求求/老天爷/放过/不想/理男/取悦/不/任何人/软件/别来/打扰/烦死/厌/行不行,2,3,2.5
375,厌男心很重看到互联网百分之九十的男生发言都想翻白眼互相尊重太难了,厌男心/很重/看到/互联网/百分之九十/男生/发言/翻白眼/互相/尊重/太难,4,2,3
376,他爹来了这个家又多了一个让我讨厌的人（配偶弟弟蛾子）我得了厌男症？LDiuDiubaby大大雯的微博视频,爹来/家/讨厌/配偶/弟弟/蛾子/厌/男症/LDiuDiubaby/大大/雯/微博/视频,2,1,1.5
377,事情不予评价，就一个点。你他妈谈个恋爱花你了你几百万啊？在这犬吠？真为我宝不值，要算把你两2年的账单全拿出来啊，看谁花的多，一段感情谈钱是最没意思的，谢谢再次恐男，有时候真觉得，这个世界没男人肯定更美好。只会让人宫寒的物种，恶心。,事情/不予/评价/一个点/妈/谈个/恋爱/花/几百万/犬吠/真为/我宝/不值/要算/两/年/账单/全拿/花/一段/感情/谈钱/没意思/再次/恐男/有时候/真/世界/没/男人/肯定/更/美好/只会/宫寒/物种/恶心,1,4,2.5
378,困死我了不想去上学班里还坐了一群似男的不好意思啊上学只会加重我的厌男程度,困死/不想/上学/班里/坐/一群/似/不好意思/上学/只会/加重/厌/程度,2,3,2.5
379,看完恋爱综艺开始恐男了算了吧单着还没有那么多狗屁烦恼,完/恋爱/综艺/恐男/算了吧/单着/没有/狗屁/烦恼,2,2,2
380,现在完全被逼成i人了——非必要不社交更喜欢一个人的生活还有就是更恐男了hhh#自由##活着#,完全/逼成/i/非必要/不/社交/更/喜欢/生活/更恐/hhh/自由/活着,2,2,2
381,管我是直是双反正我已经确定要回归日常生活了我喜欢小孩有小孩就得有家所以别管谈不了女生还是厌男没看得上的男生这不重要这也是我这半年没谈恋爱的原因上半年是忙日语学校很忙这半年是下定决心了吧而且出去玩了俩月回来就是忙也懒得接触人了谁也别耽误谁了就是说,直/双/反正/确定/回归/日常生活/喜欢/小孩/小孩/得有/家/谈/不了/女生/厌/没看/男生/不/重要/半年/没/谈恋爱/原因/上半年/忙/日语学校/很忙/半年/下定决心/出去玩/俩/月/回来/忙/懒得/接触/耽误,2,1,1.5
382,恐男症在加深。。。你以为我看不出来什么意思吗。。。,恐男症/加深/看不出来/意思,2,1,1.5
383,#677的废话bot#我又开始恐男了甚至开始怀疑自己的性取向,677/废话/bot/恐男/怀疑/性取向,2,1,1.5
384,这几天不只是厌男指数直线上升，甚至有点恐男的程度了，真的害怕啊朋友们，呜呜呜呜呜呜呜呜呜，比半夜从我腿边蹭过的老鼠可怕太多,不/厌/指数/直线/上升/恐男/程度/害怕/朋友/呜呜/呜呜/呜呜/呜呜/半夜/腿/蹭/老鼠/可怕/太多,2,2,2
385,恭喜李沧东男士给世界恐男事业添砖加瓦，不对，这已经是造了个长城的程度了,恭喜/李沧东/男士/世界/恐男/事业/添砖加瓦/不对/造/长城/程度,3,2,2.5
386,是不是男人过了50一根筋的概率直达99%厌男(50岁以上偏执自大一根筋屁本事没有还喜欢指手画脚独断专行嗓门大的男的),是不是/男人/50/一根/筋/概率/直达/99/厌/50/岁/偏执/自大/一根/筋屁/本事/没有/喜欢/指手画脚/独断专行/嗓门,2,1,1.5
387,挪到3楼了，旁边又是一个男的，而且还是计算机的(日常厌男)同专业好有压力,挪到/楼/旁边/计算机/日常/厌男同/专业/压力,2,1,1.5
388,厌男症状加重我都已经这样了，为什么不能让他们来姨妈姨妈痛呢,厌/症状/加重/不能/姨妈/姨妈/痛,1,1,1
389,不敢想象如果我有一个老婆一个女儿该有多快乐，真的好厌男啊啊啊啊啊，三次元的男的都是什么垃圾啊,不敢/想象/老婆/女儿/快乐/好厌/三次/元/垃圾,2,2,2
390,呜呜呜呜为什么没人和我一起看冰壶帅哥完全戳我，穿衣显瘦脱衣有肉，斯文败类成熟肌肉型男救命....主要是认真的样子太帅了（下午刚发表完厌男言论piapia打脸）,呜呜/呜呜/没人/一起/冰壶/帅哥/完全/戳/穿衣/显瘦/脱衣/有肉/斯文/败类/成熟/肌肉/型/救命/主要/认真/样子/太帅/下午/刚/发表/完厌/言论/piapia/打脸,1,1,1
391,我刚刚在跟自己说这只是其中的一种并不代表全部并不代表全部我们与其他人沟通的时候没必要把调起那么高，他们不是他，我真的听难过跟气氛的。本来我只需要休息，卧床休息，再处理一些线上的工作就可以了。不，就因为我受伤我还得处理我爸的情绪，我爸的焦虑担忧以及他被拒绝后的受伤。我很难受我真的非常难受！也非常气愤，就永远听不懂话永远沟通不了，我就纳了闷了？我真厌男，非常厌男。就这种玩意我真的气，我处理不了我永远处理不了烦死了快好好沟通不了！老子不想回家他妈也不需要有人来打扰我！就不听！非得来！我真的很烦！,刚刚/不/代表/不/代表/其他人/沟通/没/必要/调起/高/听/难过/气氛/本来/需要/休息/卧床/休息/处理/线上/工作/不/受伤/处理/我爸/情绪/我爸/焦虑/担忧/拒绝/受伤/难受/非常/难受/非常/气愤/听不懂/话/沟通/不了/纳/闷/真厌/非常/厌/这种/玩意/气/处理/不了/处理/不了/烦死/快/好好/沟通/不了/老子/不想/回家/他妈/不/需要/有人/打扰/不/听/非得/很烦,2,3,2.5
392,我看起来很好骗吗？街边吃个雪糕都能找我要微信，还一上来就说出来吃晚饭，我吃你妈，真的别搞我了吧，我恐男,看起来/骗/街边/吃个/雪糕/找/微信/吃晚饭/吃/妈/别搞/恐,3,3,3
393,厌男并且反胃，恶心到吐的那种，呕，真的还不如单身，也挺快乐的，太恶心了,厌/反胃/恶心/吐/单身/挺/快乐/太/恶心,5,4,4.5
394,虽然我很爱看南桐的小说而且嗑的上头，但是越看越厌男，男人就应该跟男人虐来虐去互相折磨到死，一辈子活在彼此的阴影之下，阴暗爬行,爱看/南桐/小说/嗑/上头/越看/越厌/男人/应该/男人/虐来/虐去/互相/折磨/死/一辈子/活在/阴影/之下/阴暗/爬行,2,1,1.5
395,【投稿】6.25无关jk，在一起五年半，分手一个月，现在白天实习很忙也没空想他，结果晚上还是会难过，每天忍不住的去偷看他的微博他的朋友圈，我害怕他有了新的对象才甩了我，又害怕没有单纯因为不爱了腻了甩了我，我发现他已经走出来了才一个月，而我自己不知道怎么办，平时也会和朋友出去玩，也做过思维导图列举他的缺点企图忘记他，我不知道是不是因为时间太久刻在脑子里了毕竟谈的时候我们俩认认真真考虑过结婚，在一起的时候我才高一，无比单纯付出了很多很多。我现在特别厌男，我感觉没有人会真的一直陪着我，看到周围朋友甜甜的恋爱还是会羡慕，现在我自己也不知道该怎么走出来姐妹们骂我也好给建议也好，我希望可以走出来,625/无关/jk/一起/五年/半分/手/一个月/白天/实习/很忙/没/空想/难过/每天/忍不住/偷看/微博/朋友圈/害怕/新/对象/甩/害怕/没有/单纯/不爱/腻/甩/发现/走/一个月/不/知道/平时/朋友/出去玩/做/思维/导图/列举/缺点/企图/忘记/不/知道/是不是/时间/太久/刻/脑子里/毕竟/谈/俩/认认真真/考虑/结婚/一起/无比/单纯/付出/很多很多/特别/厌/没有/人会/一直/陪/看到/周围/朋友/甜甜的/恋爱/羡慕/不/知道/走/姐妹/骂/建议/希望/走,2,1,1.5
396,国人为什么会厌男，因为她的亲人，她的父亲生气时都会骂她是“没用的东西”，而她的弟弟跟朋友说笑时都会造她的黄谣。对于她来说，父亲只不过是每天晚上发脾气吃喝玩乐，而弟弟只是一个只会吸血，完全没有边界的蛀虫,国人/会厌/亲人/父亲/生气/时/骂/没用/东西/弟弟/朋友/笑/时/会造/黄谣/父亲/只不过/每天晚上/发脾气/吃喝玩乐/弟弟/只会/吸血/完全/没有/边界/蛀虫,3,3,3
397,爱女解哪里是爱女和厌男，明明就是在剥夺女性夸帅哥长得帅的权利。。。看到个说金城武丑男的我真的谢谢，谁分我一个丑成这样的丑男做我老公,爱女/解/爱女/厌/明明/剥夺/女性/夸/帅哥/长得帅/权利/看到/金城武/丑男/分/丑成/丑男/做/老公,1,1,1
398,中国男网友致力拉低我对中国普通男人的期待值。因此我每个月都会有那么几天极度厌男，然而我本身又是一个纯直女，所以我很大可能会孤独终老,中国/网友/致力/拉低/中国/普通/男人/期待值/每个/月/极度/厌/纯直/女/很大/孤独终老,3,3,3
